,month,day,year,city,state,nwound,nkill,naff,suicide,killed_by_police,source_quoted,shots_fired_at_schoolgrounds,shots_fired_at_bar_nightclub_stripclub,shots_fired_at_home,gender,location,lon,lat,date,Time
105,7,9,2010,Dallas,TX,1,3,4,1,0,1,0,0,0,NA,"Dallas, TX",-96.7969879,32.7766642,7/9/2010,2015
106,7,3,2010,Richmond,VA,5,0,5,0,0,1,0,0,1,NA,"Richmond, VA",-77.4360481,37.5407246,7/3/2010,2009
107,6,26,2010,East Point,GA,4,1,5,0,0,1,0,0,1,NA,"East Point, GA",-84.4393724,33.6795531,6/26/2010,2002
108,6,19,2010,San Bernardino,CA,2,2,4,1,0,1,0,0,0,1,"San Bernardino, CA",-117.2897652,34.1083449,6/19/2010,1995
109,6,9,2010,Coney Island,NY,4,0,4,0,0,1,0,0,0,1,"Coney Island, NY",-73.9707016,40.5755438,6/9/2010,1985
110,6,6,2010,Hialeah,FL,3,4,7,1,0,1,0,0,0,1,"Hialeah, FL",-80.2781057,25.8575963,6/6/2010,1982
111,6,6,2010,New Brighton,MN,4,0,4,0,0,1,0,0,0,NA,"New Brighton, MN",-93.2018908,45.0655212,6/6/2010,1982
112,5,20,2010,West Memphis,AK,2,2,4,0,1,1,0,0,0,1,"West Memphis, AK",-90.1845388,35.1464797,5/20/2010,1965
113,5,16,2010,Tuscaloosa,AL,8,1,9,0,0,1,0,0,0,1,"Tuscaloosa, AL",-87.5691735,33.2098407,5/16/2010,1961
114,5,13,2010,North Richmond,CA,1,3,4,0,0,1,0,0,0,NA,"North Richmond, CA",-122.3674713,37.9588126,5/13/2010,1958
115,5,3,2010,Detroit,MI,NA,NA,5,0,0,1,0,0,0,NA,"Detroit, MI",-83.0457538,42.331427,5/3/2010,1948
116,4,15,2010,Decatur,GA,3,2,5,0,0,1,0,0,1,NA,"Decatur, GA",-84.2963123,33.7748275,4/15/2010,1930
117,4,14,2010,Chicago,IL,2,4,6,0,0,1,0,0,1,NA,"Chicago, IL",-87.6297982,41.8781136,4/14/2010,1929
118,4,10,2010,Muskogee,OK,5,1,6,0,0,1,0,0,0,NA,"Muskogee, OK",-95.3696909,35.7478769,4/10/2010,1925
119,4,5,2010,Long Beach,CA,4,0,4,0,0,1,0,0,1,NA,"Long Beach, CA",-118.1937395,33.7700504,4/5/2010,1920
120,4,4,2010,Omaha,NE,NA,NA,4,0,0,1,0,0,0,NA,"Omaha, NE",-95.9345034,41.2565369,4/4/2010,1919
121,4,3,2010,North Hollywood,CA,2,4,6,0,0,1,0,0,0,NA,"North Hollywood, CA",-118.3812562,34.187044,4/3/2010,1918
122,4,2,2010,Chicago,IL,NA,NA,6,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,4/2/2010,1917
